SubjID,Landmark,OX,OY,OZ,MX,MY,MZ
M8807,Ex,-49.702,30.2194,40.8765,-50.48835998,29.06415487,40.35694206
M8807,En,-20.4448,27.9975,46.245,-21.5171347,27.84753042,47.40380596
M8807,Al,-21.0568,-7.3002,52.3846,-22.15867475,-6.084590483,52.65018014
M8807,Sbal,-13.9626,-10.0068,58.3168,-16.35231536,-10.63038408,56.55857766
M8807,Ch,-31.6832,-33.9909,45.6596,-31.03875298,-33.26696597,44.34923093
M8807,Prn,-4.52221,-0.645955,76.0928,-4.52221,-0.645955,76.0928
N8891,Ft,-37.1132,33.5832,83.7178,-35.69333191,32.35984884,81.36768439
N8891,Ex,-23.7771,10.3526,98.0585,-23.53130744,10.74627544,96.4646187
N8891,En,8.08326,5.49214,110.261,8.9849717,4.57749575,109.1567745
N8891,Al,6.49021,-32.5394,110.383,7.464545055,-32.22120224,109.8494635
N8891,Sbal,15.277,-36.9348,114.36,15.77801139,-35.57731413,113.5893476
N8891,Prn,25.6871,-27.5252,129.868,25.6871,-27.5252,129.868
O4837,Ft,-57.1728,42.5023,-20.4771,-56.27634162,43.22553871,-18.46309207
O4837,Ex,-40.275,21.2013,-0.689126,-41.05400924,21.99068505,0.997468252
O4837,En,-13.9455,18.5571,2.04823,-13.17033068,19.34220068,1.647685826
O4837,Al,-14.3449,-22.707,10.9386,-12.99069447,-20.8881632,10.25972515
O4837,Sbal,-9.0961,-25.1066,18.1826,-10.45035864,-25.71111765,19.51594537
O4837,Ch,-21.9538,-47.5497,7.59361,-22.41003571,-48.26615656,9.037827252
O4837,Prn,1.09813,-15.1883,36.716,1.09813,-15.1883,36.716
P9721,Ft,-58.5541,75.2283,-2.79749,-58.20664063,76.51681697,-2.493184561
P9721,Ex,-42.6932,59.4765,12.4824,-42.33044388,59.95846149,13.87628098
P9721,En,-14.3458,53.4966,19.4827,-14.89330852,53.19440345,20.03525197
P9721,Al,-13.438,16.7318,26.9861,-12.76891467,13.6418301,26.56606516
P9721,Sbal,-8.85731,12.351,28.2885,-9.800186695,10.51639894,28.64541041
P9721,Ch,-23.9213,-6.11139,14.0684,-23.65199797,-4.509294281,13.170854
P9721,Prn,2.39688,18.8231,47.2023,2.39688,18.8231,47.2023
Q9373,Ft,-51.5474,81.5324,0.783705,-50.74138771,81.99406128,0.72022164
Q9373,Ex,-37.6993,62.8829,18.1025,-38.43553048,62.70519332,17.98026454
Q9373,En,-6.90732,59.257,25.9456,-6.69759571,60.24995058,25.87346663
Q9373,Al,-8.49754,20.493,29.3866,-7.862642978,19.48264111,29.27346878
Q9373,Sbal,-2.0656,16.5531,38.2875,-1.003219201,17.00805296,38.78973328
Q9373,Ch,-17.2727,-4.57785,21.5786,-15.4834515,-5.645300919,20.91025629
Q9373,Prn,6.62549,26.7492,58.3974,6.62549,26.7492,58.3974
R4133,Ft,-39.8051,4.18164,89.3099,-40.07546034,5.276685637,90.37353738
R4133,Ex,-26.8702,-17.0812,102.759,-27.92907144,-19.09926964,102.642568
R4133,En,7.45492,-20.725,113.821,7.226102369,-21.85809056,113.9491552
R4133,Al,3.38449,-59.4962,119.826,2.481955191,-57.55338632,117.8791522
R4133,Sbal,8.75535,-67.7736,122.087,7.871340794,-66.60007726,122.3733424
R4133,Ch,-9.75107,-92.3093,108.949,-8.638957374,-91.08098221,108.3399038
R4133,Prn,17.0979,-59.9143,146.192,17.0979,-59.9143,146.192
S2591,Ft,-43.9295,27.8706,71.4386,-46.76949011,28.45299439,72.2213454
S2591,Ex,-34.533,11.464,73.1878,-33.40606922,12.03018867,70.63293769
S2591,En,-5.97806,5.57545,77.1714,-6.596265965,6.952452226,78.88864861
S2591,Al,-7.41524,-28.3536,78.7369,-6.878446925,-28.28182988,79.57087077
S2591,Sbal,-3.99537,-35.0497,82.4655,-5.404938363,-35.844116,82.15396732
S2591,Ch,-15.5721,-55.2306,65.8414,-14.820195,-57.3989841,64.91247245
S2591,Prn,7.38951,47.6913,104.713,7.38951,47.6913,104.713
T5747,Ft,-47.9418,35.5846,37.178,-48.99579464,35.76154139,38.48604196
T5747,Ex,-31.8848,-0.288166,56.839,-31.97531731,-0.431893538,57.12650234
T5747,En,-3.4983,-2.52558,66.6769,-3.136082561,-2.229546936,66.49186096
T5747,Al,-2.53104,-46.2081,62.0708,-3.471932082,-48.2080214,61.53106594
T5747,Sbal,5.65111,-49.4774,67.2431,6.782754262,-49.74684324,64.71977537
