MZ,OZ,MX,OY,Landmark,MY,OX,SubjID
86.1335909,84.4555,-7.723661026,-19.0843,Sbal,-18.5758465,-7.18316,L2985
75.73775134,75.4597,-19.51242708,-41.6701,Ch,-42.70484265,-21.1721,L2985
101.075,101.075,4.30862,-8.6001,Prn,-8.6001,4.30862,L2985
13.01588313,10.238,-77.1485477,49.7389,Ft,48.32488449,-76.5422,M8807
40.35694206,40.8765,-50.48835998,30.2194,Ex,29.06415487,-49.702,M8807
47.40380596,46.245,-21.5171347,27.9975,En,27.84753042,-20.4448,M8807
52.65018014,52.3846,-22.15867475,-7.3002,Al,-6.084590483,-21.0568,M8807
56.55857766,58.3168,-16.35231536,-10.0068,Sbal,-10.63038408,-13.9626,M8807
44.34923093,45.6596,-31.03875298,-33.9909,Ch,-33.26696597,-31.6832,M8807
76.0928,76.0928,-4.52221,-0.645955,Prn,-0.645955,-4.52221,M8807
81.36768439,83.7178,-35.69333191,33.5832,Ft,32.35984884,-37.1132,N8891
96.4646187,98.0585,-23.53130744,10.3526,Ex,10.74627544,-23.7771,N8891
109.1567745,110.261,8.9849717,5.49214,En,4.57749575,8.08326,N8891
109.8494635,110.383,7.464545055,-32.5394,Al,-32.22120224,6.49021,N8891
113.5893476,114.36,15.77801139,-36.9348,Sbal,-35.57731413,15.277,N8891
99.71010755,100.417,-1.499856606,-58.6182,Ch,-57.96571288,0.132526,N8891
129.868,129.868,25.6871,-27.5252,Prn,-27.5252,25.6871,N8891
-18.46309207,-20.4771,-56.27634162,42.5023,Ft,43.22553871,-57.1728,O4837
0.997468252,-0.689126,-41.05400924,21.2013,Ex,21.99068505,-40.275,O4837
1.647685826,2.04823,-13.17033068,18.5571,En,19.34220068,-13.9455,O4837
10.25972515,10.9386,-12.99069447,-22.707,Al,-20.8881632,-14.3449,O4837
19.51594537,18.1826,-10.45035864,-25.1066,Sbal,-25.71111765,-9.0961,O4837
9.037827252,7.59361,-22.41003571,-47.5497,Ch,-48.26615656,-21.9538,O4837
36.716,36.716,1.09813,-15.1883,Prn,-15.1883,1.09813,O4837
-2.493184561,-2.79749,-58.20664063,75.2283,Ft,76.51681697,-58.5541,P9721
13.87628098,12.4824,-42.33044388,59.4765,Ex,59.95846149,-42.6932,P9721
20.03525197,19.4827,-14.89330852,53.4966,En,53.19440345,-14.3458,P9721
26.56606516,26.9861,-12.76891467,16.7318,Al,13.6418301,-13.438,P9721
28.64541041,28.2885,-9.800186695,12.351,Sbal,10.51639894,-8.85731,P9721
13.170854,14.0684,-23.65199797,-6.11139,Ch,-4.509294281,-23.9213,P9721
47.2023,47.2023,2.39688,18.8231,Prn,18.8231,2.39688,P9721
