SubjID,Landmark,OX,MX,OZ,OY,MY,MZ
L2985,Ch,-21.1721,-19.51242708,75.4597,-41.6701,-42.70484265,75.73775134
L2985,Prn,4.30862,4.30862,101.075,-8.6001,-8.6001,101.075
M8807,Ft,-76.5422,-77.1485477,10.238,49.7389,48.32488449,13.01588313
M8807,Ex,-49.702,-50.48835998,40.8765,30.2194,29.06415487,40.35694206
M8807,En,-20.4448,-21.5171347,46.245,27.9975,27.84753042,47.40380596
M8807,Al,-21.0568,-22.15867475,52.3846,-7.3002,-6.084590483,52.65018014
M8807,Sbal,-13.9626,-16.35231536,58.3168,-10.0068,-10.63038408,56.55857766
M8807,Ch,-31.6832,-31.03875298,45.6596,-33.9909,-33.26696597,44.34923093
M8807,Prn,-4.52221,-4.52221,76.0928,-0.645955,-0.645955,76.0928
N8891,Ft,-37.1132,-35.69333191,83.7178,33.5832,32.35984884,81.36768439
N8891,Ex,-23.7771,-23.53130744,98.0585,10.3526,10.74627544,96.4646187
N8891,En,8.08326,8.9849717,110.261,5.49214,4.57749575,109.1567745
N8891,Al,6.49021,7.464545055,110.383,-32.5394,-32.22120224,109.8494635
N8891,Sbal,15.277,15.77801139,114.36,-36.9348,-35.57731413,113.5893476
N8891,Ch,0.132526,-1.499856606,100.417,-58.6182,-57.96571288,99.71010755
N8891,Prn,25.6871,25.6871,129.868,-27.5252,-27.5252,129.868
O4837,Ft,-57.1728,-56.27634162,-20.4771,42.5023,43.22553871,-18.46309207
O4837,Ex,-40.275,-41.05400924,-0.689126,21.2013,21.99068505,0.997468252
O4837,En,-13.9455,-13.17033068,2.04823,18.5571,19.34220068,1.647685826
O4837,Al,-14.3449,-12.99069447,10.9386,-22.707,-20.8881632,10.25972515
O4837,Sbal,-9.0961,-10.45035864,18.1826,-25.1066,-25.71111765,19.51594537
O4837,Ch,-21.9538,-22.41003571,7.59361,-47.5497,-48.26615656,9.037827252
O4837,Prn,1.09813,1.09813,36.716,-15.1883,-15.1883,36.716
P9721,Ft,-58.5541,-58.20664063,-2.79749,75.2283,76.51681697,-2.493184561
P9721,Ex,-42.6932,-42.33044388,12.4824,59.4765,59.95846149,13.87628098
P9721,En,-14.3458,-14.89330852,19.4827,53.4966,53.19440345,20.03525197
P9721,Al,-13.438,-12.76891467,26.9861,16.7318,13.6418301,26.56606516
P9721,Sbal,-8.85731,-9.800186695,28.2885,12.351,10.51639894,28.64541041
P9721,Ch,-23.9213,-23.65199797,14.0684,-6.11139,-4.509294281,13.170854
P9721,Prn,2.39688,2.39688,47.2023,18.8231,18.8231,47.2023
